fips,median_household_income_2017,density_2010
13081,33194,86
13083,43163,95.6
13085,62284,105.9
13087,36934,46.6
13089,55876,2585.7
13091,35290,44
13093,33389,38.1
13095,34541,287.7
13097,59333,661.8
13099,29493,21.5
13101,34315,9.7
13103,64279,109.4
13105,35207,57.4
13107,33089,33.2
13109,38736,60.2
13111,43344,61.2
13113,84861,548.3
13115,46096,188.9
13117,96445,783.5
13119,39246,84.5
13121,61336,1748
13123,46211,66.3
13125,45273,21.4
13127,47546,189.7
13129,43452,155.1
13131,39462,55
13133,45069,41.3
13135,64496,1871.2
13137,44474,155.5
13139,55622,457.5
13141,29268,20
13143,43663,102
13145,69539,69
13147,41216,108.5
13149,44897,40
13151,64752,633
13153,55965,372.5
13155,34677,26.9
13157,57999,178.1
13159,42067,37.8
13161,37267,45.6
13163,29640,32.2
13165,27197,24
13167,36423,32.9
13169,55110,72.8
13171,41157,99.8
13173,31109,54.4
13175,35202,60
13177,65018,79.5
13179,43493,129.5
13181,37711,38
13183,53083,36.1
13185,39911,220.2
13187,43039,105.9
13189,40469,85
13191,43285,33.8
13193,30851,36.8
13195,47653,99.6
13197,39015,23.9
13199,36368,43.9
13201,37255,21.7
13205,34122,45.9
13207,50666,66.8
13209,40308,38.1
13211,59572,51.4
13213,41617,115
13215,43239,877.5
13217,52784,367.3
13219,77388,178
13221,43938,33.9
13223,63669,455.8
13225,43645,184.3
13227,61542,126.8
13229,39863,59.3
13231,52377,82.7
13233,40652,133.6
13235,38750,48.2
13237,48340,61.6
13239,26750,16.6
13241,39297,44
13243,30640,18
13245,39430,618.4
13247,54175,656.5
13249,41267,30
13251,36556,22.6
13253,33999,37.1
13255,42398,326.1
13257,39756,146.1
13259,22413,13.2
13261,34219,68
13263,37226,17.5
13265,30500,8.8
13267,36355,53.2
13269,29875,23.6
13271,28044,37.7
13273,32219,27.8
13275,41336,82.1
13277,38728,154.9
13279,35750,74.8
13281,41182,62.9
13283,39375,34.5
13285,43597,161.9
13287,42622,31.3
13289,30629,25.2
13291,42767,66.3
13293,35375,84
13295,43581,154
13297,55876,257.2
13299,36962,40.7
13301,32860,20.5
13303,38097,31.2
13305,41534,46.9
13307,36658,13.4
13309,28490,25.1
13311,43944,112.8
13313,43871,353.2
13315,35457,24.5
13317,34234,22.6
13319,38711,21.4
13321,40369,38
15001,56395,45.9
15003,80078,1586.7
15005,61750,7.5
15007,72330,108.2
15009,72762,133.3
16001,60151,372.8
16003,42727,2.9
16005,47390,74.5
16007,50603,6.1
16009,43472,12
16011,51307,21.8
16013,58835,8.1
16015,49964,3.7
16017,45607,23.6
16019,54150,55.9
16021,39512,8.6
